FID,height,area,Additional_water,Ponding_level,Average_ponding_depth
0,75,2500.0,231.79999999999112,75.232,0.01159
1,75,937.5,1182.50000000002,76.183,0.16467
1,76,39062.5,182.49999999999392,76.182,0.16467
4,73,625.0,3004.399999998363,76.004,0.1937
5,73,13437.5,58.000000000000554,73.058,0.01556
7,73,2656.25,2452.199999998865,75.452,0.58413
8,78,12031.25,58.30000000000056,78.058,0.01402
9,72,2031.25,2428.299999998887,74.428,0.30212
10,71,781.25,3004.0999999983633,74.004,0.12463
12,75,1093.75,696.7000000000899,75.697,0.01524
13,76,2968.75,1962.1999999993109,77.962,0.57953
15,68,156.25,6245.50000000519,74.246,0.65967
15,70,312.5,4245.499999997914,74.245,0.65967
16,71,156.25,4388.199999998433,75.388,0.13205
18,73,312.5,942.6000000001458,73.943,0.00589
19,72,937.5,2723.3999999986186,74.723,0.56814
20,76,1250.0,2014.899999999263,78.015,0.01855
21,71,312.5,3092.299999998283,74.092,0.1158
22,63,1250.0,6309.100000005421,69.309,1.0043
23,72,3906.25,1741.7999999995113,73.742,0.58811
24,77,5468.75,1002.0000000001593,78.002,0.01104
25,72,8750.0,2076.0999999992073,74.076,0.22888
26,61,312.5,4442.29999999863,65.442,0.10715
31,72,2343.75,2077.399999999206,74.077,0.22695
32,72,937.5,314.60000000000304,72.315,0.0059
33,78,5000.0,1323.7999999998915,79.324,0.32562
34,72,5781.25,8.999999999999984,72.009,0.00103
39,77,12031.25,890.4000000001339,77.89,0.21425
40,71,2812.5,2077.7999999992057,73.078,0.37796
42,68,468.75,1815.2999999994445,69.815,0.06797
45,79,12968.75,463.1000000000368,79.463,0.1201
46,77,937.5,819.2000000001177,77.819,0.01536
49,71,1250.0,2007.8999999992693,73.008,0.01957
52,74,1093.75,3045.3999999983257,77.045,0.05743
53,76,3281.25,1095.5000000000991,77.096,0.0886
54,69,1718.75,2876.699999998479,71.877,0.21857
55,58,937.5,3908.199999997541,61.908,0.48803
59,79,937.5,1568.6999999996688,80.569,0.24089
60,62,3593.75,2263.299999999037,64.263,0.6049
61,63,1875.0,1757.9999999994966,64.758,0.27909
62,77,10781.25,1014.200000000162,78.014,0.02098
63,78,625.0,2109.599999999177,80.11,0.24146
65,70,937.5,1000.900000000159,71.001,0.0189
68,69,156.25,1926.0999999993437,70.926,0.00891
71,63,12187.5,76.29999999999994,63.076,0.01858
73,58,3906.25,3356.8999999980424,61.357,0.48406
76,70,1250.0,1179.6000000000226,71.18,0.05641
78,57,781.25,2548.8999999987773,59.549,0.13282
79,78,3593.75,51.40000000000046,78.051,0.00369
83,58,937.5,3146.6999999982336,61.147,0.57873
87,72,6718.75,181.299999999994,72.181,0.02436
88,70,1718.75,611.4000000000705,70.611,0.02102
90,61,781.25,1925.799999999344,62.926,0.16027
91,79,11875.0,897.7000000001356,79.898,0.2132
93,60,1250.0,2080.599999999203,62.081,0.2843
97,69,1250.0,1284.5999999999271,70.285,0.0988
99,59,625.0,2047.0999999992337,61.047,0.07325
100,64,8906.25,138.8999999999964,64.139,0.02474
101,79,4375.0,1058.5000000001328,80.059,0.12456
101,80,27343.75,58.50000000000056,80.058,0.12456
102,69,625.0,2076.399999999207,71.076,0.09811
107,61,75468.75,246.99999999999025,61.247,0.24691
109,78,781.25,2832.2999999985195,80.832,0.15923
110,61,7343.75,2112.499999999174,63.112,0.34387
110,62,32031.25,1112.5000000000837,63.113,0.34387
111,78,7343.75,55.200000000000514,78.055,0.0081
112,70,5000.0,1174.5000000000273,71.175,0.2654
112,71,50000.0,174.49999999999437,71.174,0.2654
116,58,156.25,4010.1999999974482,62.01,0.22774
117,69,3125.0,1047.300000000143,70.047,0.07431
118,80,12031.25,65.60000000000055,80.066,0.01577
120,65,14218.75,149.89999999999577,65.15,0.0426
121,61,625.0,302.2000000000002,61.302,0.00378
122,69,4843.75,420.70000000002716,69.421,0.04075
127,70,781.25,1017.8000000001629,71.018,0.0284
128,70,5156.25,1144.9000000000542,71.145,0.22882
129,62,1718.75,2327.299999998979,64.327,0.52582
130,63,468.75,1093.500000000101,64.094,0.01755
131,59,4687.5,2314.89999999899,61.315,0.70692
132,60,625.0,2603.7999999987273,62.604,0.57295
134,70,3593.75,1040.3000000001493,71.04,0.08508
135,61,3593.75,1843.299999999419,62.843,0.47242
136,68,1093.75,1133.6000000000645,69.134,0.08116
137,58,1093.75,75.39999999999999,58.075,0.00165
140,69,1093.75,2049.2999999992317,71.049,0.13947
143,61,5781.25,1178.9000000000233,62.179,0.25088
146,70,3593.75,1063.6000000001281,71.064,0.06932
149,51,312.5,17.399999999999977,51.017,0.00011
154,60,2656.25,330.3000000000066,60.33,0.01755
155,69,625.0,2065.399999999217,71.065,0.07255
156,61,7187.5,1.5000000000000002,61.002,0.0002
158,60,781.25,2.500000000000001,60.002,4e-05
161,63,156.25,5426.60000000221,68.427,0.59401
162,80,2031.25,1092.1000000001022,81.092,0.13068
168,59,3281.25,1210.099999999995,60.21,0.12272
169,68,156.25,1964.7999999993085,69.965,0.24129
173,58,1406.25,0.2,58.0,1e-05
176,61,6875.0,49.80000000000044,61.05,0.00684
177,67,1875.0,284.4999999999962,67.284,0.01067
179,60,5156.25,558.9000000000585,60.559,0.05763
182,65,2187.5,1114.2000000000821,66.114,0.06087
186,60,2968.75,932.4000000001435,60.932,0.05536
188,68,937.5,1523.7999999997096,69.524,0.11859
189,68,3437.5,1030.0000000001587,69.03,0.09593
191,125,1562.5,103.69999999999838,125.104,0.00324
195,60,1875.0,95.69999999999884,60.096,0.00359
198,58,625.0,560.2000000000588,58.56,0.007
200,80,18281.25,73.30000000000011,80.073,0.02678
202,60,4531.25,65.70000000000054,60.066,0.00595
204,60,2187.5,0.4,60.0,1e-05
206,68,2968.75,1061.50000000013,69.062,0.10107
206,69,30937.5,61.500000000000604,69.061,0.10107
208,60,7656.25,0.1,60.0,0.0
209,67,3437.5,129.8999999999969,67.13,0.00893
210,57,1562.5,61.500000000000604,57.062,0.00192
214,68,10625.0,1299.1999999999139,69.299,0.49795
218,64,1250.0,173.9999999999944,64.174,0.00435
219,59,468.75,654.4000000000802,59.654,0.00613
225,66,2968.75,1371.8999999998478,67.372,0.22669
230,66,1250.0,1072.50000000012,67.073,0.04107
233,66,4843.75,1471.0999999997575,67.471,0.5354
234,60,6093.75,633.8000000000756,60.634,0.07723
236,120,1406.25,4.699999999999999,120.005,0.00013
239,60,4843.75,707.9000000000924,60.708,0.06857
241,79,3750.0,178.29999999999416,79.178,0.01337
242,67,1718.75,61.80000000000061,67.062,0.00212
243,66,625.0,2487.2999999988333,68.487,0.61402
246,59,625.0,1308.899999999905,60.309,0.06558
248,66,781.25,300.2999999999998,66.3,0.00469
249,95,11250.0,27.40000000000012,95.027,0.00616
255,94,6406.25,191.09999999999343,94.191,0.02448
257,87,937.5,2627.9999999987053,89.628,0.91179
258,95,2031.25,167.79999999999475,95.168,0.00681
260,79,3593.75,88.19999999999926,79.088,0.00634
261,67,4062.5,21.500000000000036,67.022,0.00174
263,66,7968.75,1299.2999999999138,67.299,0.39314
264,67,6250.0,0.1,67.0,0.0
266,67,1093.75,2260.09999999904,69.26,0.16401
268,68,17187.5,258.9999999999904,68.259,0.08902
269,74,625.0,5346.500000001919,79.347,0.77034
269,75,1562.5,4346.499999998281,79.346,0.77034
271,58,625.0,1.9000000000000006,58.002,2e-05
273,95,15000.0,15.89999999999996,95.016,0.00476
274,67,781.25,1072.2000000001203,68.072,0.03412
275,58,1562.5,716.5000000000944,58.717,0.02239
276,65,1250.0,1208.2999999999965,66.208,0.12064
281,60,1093.75,735.2000000000986,60.735,0.01608
283,79,937.5,1109.1000000000868,80.109,0.04056
284,59,1718.75,0.4,59.0,1e-05
285,63,937.5,4536.599999998973,67.537,1.23949
292,62,18750.0,17.59999999999998,62.018,0.00658
293,68,15312.5,1047.5000000001428,69.048,0.07975
293,69,458593.75,47.500000000000405,69.047,0.07975
295,68,4531.25,1324.399999999891,69.324,0.36934
296,66,937.5,1353.3999999998646,67.353,0.12034
297,59,8593.75,20.40000000000002,59.02,0.0035
298,65,1093.75,3890.9999999975566,68.891,1.39552
299,60,12031.25,17.999999999999986,60.018,0.00431
301,69,1093.75,1643.199999999601,70.643,0.22689
302,65,7343.75,1309.2999999999047,66.309,0.43003
307,77,937.5,2723.2999999986187,79.723,0.40659
309,58,1562.5,225.29999999999148,58.225,0.00704
310,94,1250.0,101.49999999999851,94.102,0.00254
311,67,625.0,2599.699999998731,69.6,0.74166
312,65,5625.0,1033.7000000001553,66.034,0.14413
314,58,2812.5,38.10000000000027,58.038,0.00214
317,108,1875.0,747.7000000001015,108.748,0.02804
320,96,625.0,1191.5000000000118,97.192,0.03343
320,97,4843.75,191.4999999999934,97.191,0.03343
321,63,312.5,1110.1000000000859,64.11,0.03342
323,63,156.25,2632.699999998701,65.633,0.38094
324,67,6093.75,1714.1999999995364,68.714,0.66194
325,82,6250.0,36.900000000000254,82.037,0.00461
326,95,2500.0,161.19999999999513,95.161,0.00806
327,101,4375.0,470.70000000003853,101.471,0.04118
329,57,1093.75,1029.5000000001592,58.03,0.025
329,58,4218.75,29.50000000000015,58.029,0.025
330,71,312.5,1131.8000000000661,72.132,0.04741
331,58,2968.75,1181.1000000000213,59.181,0.23063
332,114,3593.75,441.2000000000318,114.441,0.03171
333,64,2656.25,1536.1999999996983,65.536,0.27597
337,65,3437.5,1381.399999999839,66.381,0.44775
338,61,6718.75,66.5000000000005,61.066,0.00892
339,72,2656.25,15.99999999999996,72.016,0.00085
340,65,4843.75,1788.4999999994689,66.788,0.67836
340,66,32031.25,788.5000000001107,66.789,0.67836
341,55,781.25,1753.6999999995005,56.754,0.0698
342,64,2500.0,16.399999999999963,64.016,0.00082
346,75,156.25,5013.000000000706,80.013,0.09493
348,58,625.0,493.0000000000436,58.493,0.00616
349,65,8593.75,1013.6000000001619,66.014,0.11139
350,66,1718.75,164.59999999999494,66.165,0.00566
352,63,312.5,3057.199999998315,66.057,0.29045
353,76,781.25,755.8000000001033,76.756,0.01181
354,99,1718.75,1033.5000000001555,100.034,0.04368
356,58,1562.5,1191.0000000000123,59.191,0.18047
357,56,781.25,0.4,56.0,0.0
359,65,781.25,73.10000000000012,65.073,0.00114
361,79,625.0,133.4999999999967,79.133,0.00167
362,62,1250.0,321.30000000000456,62.321,0.00803
363,56,312.5,283.9999999999961,56.284,0.00177
364,78,312.5,1726.2999999995254,79.726,0.02214
366,56,1718.75,0.4,56.0,1e-05
369,69,4843.75,1126.0000000000714,70.126,0.18658
371,59,1875.0,99.09999999999864,59.099,0.00371
372,110,1718.75,797.1000000001127,110.797,0.0274
373,64,16250.0,1100.4000000000947,65.1,0.27778
374,63,4375.0,1284.2999999999274,64.284,0.24826
376,100,781.25,520.0000000000497,100.52,0.00812
378,56,781.25,2101.899999999184,58.102,0.16084
379,96,5312.5,646.7000000000785,96.647,0.06871
380,71,625.0,1104.0000000000914,72.104,0.05472
382,60,1562.5,94.89999999999888,60.095,0.00296
384,67,781.25,2073.7999999992094,69.074,0.20603
385,98,1093.75,1285.3999999999264,99.285,0.06468
386,67,10156.25,1034.8000000001543,68.035,0.18015
389,97,1250.0,414.90000000002584,97.415,0.01037
392,60,3593.75,49.40000000000043,60.049,0.00355
393,60,1718.75,63.80000000000064,60.064,0.00219
394,55,468.75,1643.099999999601,56.643,0.0355
395,77,1093.75,3004.599999998363,80.005,0.07449
396,98,3750.0,109.59999999999805,98.11,0.00822
398,65,9843.75,1432.9999999997922,66.433,0.58546
400,98,5781.25,98.99999999999865,98.099,0.01144
402,80,1093.75,1698.8999999995503,81.699,0.08303
404,78,4843.75,235.09999999999093,78.235,0.02277
406,69,5937.5,1307.0999999999067,70.307,0.40605
408,78,781.25,1896.199999999371,79.896,0.03803
410,65,1093.75,2313.0999999989917,67.313,0.30308
412,65,3125.0,1230.1999999999766,66.23,0.24877
413,63,781.25,1707.099999999543,64.707,0.2388
414,77,3593.75,29.000000000000142,77.029,0.00208
417,70,3437.5,1052.0000000001387,71.052,0.10839
419,100,6250.0,842.600000000123,100.843,0.10531
422,94,937.5,1140.3000000000584,95.14,0.03278
423,65,937.5,3096.2999999982794,68.096,0.40744
424,67,3750.0,1744.4999999995089,68.744,0.56125
424,68,28906.25,744.5000000001007,68.745,0.56125
426,64,781.25,2524.5999999987994,66.525,0.66994
427,58,7031.25,1079.100000000114,59.079,0.18359
428,63,1562.5,2081.2999999992026,65.081,0.21717
431,60,1875.0,172.59999999999448,60.173,0.00647
432,80,156.25,1041.9000000001479,81.042,0.00378
433,83,156.25,36.40000000000025,83.036,0.00011
434,73,3750.0,179.4999999999941,73.179,0.01346
435,71,156.25,1124.200000000073,72.124,0.03378
436,57,2187.5,488.5000000000426,57.489,0.02137
437,61,1406.25,83.9999999999995,61.084,0.00236
438,64,4375.0,1055.3000000001357,65.055,0.12896
439,63,6250.0,296.899999999999,63.297,0.03711
440,61,1406.25,1016.7000000001626,62.017,0.03385
441,103,937.5,1045.9000000001442,104.046,0.02605
442,56,2500.0,23.000000000000057,56.023,0.00115
443,60,625.0,35.10000000000023,60.035,0.00044
446,64,4062.5,1002.4000000001594,65.002,0.08327
449,66,1250.0,2128.4999999991596,68.128,0.09249
449,67,1562.5,1128.5000000000691,68.129,0.09249
450,61,625.0,97.19999999999875,61.097,0.00121
451,72,312.5,3930.399999997521,75.93,0.12355
453,65,2031.25,2343.499999998964,67.343,0.52474
453,67,50000.0,343.5000000000096,67.344,0.52474
454,84,17343.75,10.29999999999998,84.01,0.00357
455,58,2343.75,22.000000000000043,58.022,0.00103
456,97,6093.75,125.19999999999716,97.125,0.01525
458,59,937.5,193.79999999999328,59.194,0.00363
459,68,625.0,2234.1999999990635,70.234,0.23516
460,64,13593.75,996.400000000158,64.996,0.27088
463,56,1562.5,333.7000000000074,56.334,0.01043
464,79,2812.5,190.19999999999348,79.19,0.0107
465,77,781.25,235.99999999999088,77.236,0.00369
469,82,13906.25,24.100000000000072,82.024,0.00668
471,83,21093.75,87.89999999999928,83.088,0.03706
472,77,781.25,2633.0999999987007,79.633,0.12153
473,64,2968.75,1425.1999999997993,65.425,0.48124
474,64,5000.0,1614.699999999627,65.615,0.67816
476,71,3437.5,1007.9000000001606,72.008,0.07474
477,73,312.5,5956.800000004139,78.957,0.5767
478,63,2187.5,2314.3999999989906,65.314,0.44731
479,73,156.25,2766.999999998579,75.767,0.06887
482,57,13437.5,1.4000000000000001,57.001,0.00036
485,57,781.25,1505.8999999997259,58.506,0.15947
486,80,1406.25,133.3999999999967,80.133,0.00375
488,102,625.0,1264.4999999999454,103.264,0.07448
490,102,3750.0,366.8000000000149,102.367,0.02751
491,93,8750.0,473.90000000003926,93.474,0.08292
492,64,937.5,1748.699999999505,65.749,0.17316
493,53,156.25,1155.100000000045,54.155,0.00894
494,53,781.25,189.5999999999935,53.19,0.00296
495,83,2500.0,104.89999999999831,83.105,0.00524
498,107,312.5,2394.7999999989174,109.395,0.08816
499,84,2812.5,0.4,84.0,2e-05
501,82,1250.0,1172.600000000029,83.173,0.10481
504,89,7031.25,360.1000000000134,89.36,0.05063
505,101,5000.0,454.3000000000348,101.454,0.04542
506,85,1718.75,1021.6000000001637,86.022,0.0438
507,80,1250.0,174.1999999999944,80.174,0.00435
509,60,5468.75,55.200000000000514,60.055,0.00603
514,64,2343.75,1121.8000000000752,65.122,0.16371
516,61,937.5,1151.800000000048,62.152,0.03629
517,64,2812.5,564.1000000000597,64.564,0.03173
518,72,1718.75,1004.3000000001598,73.004,0.03525
520,53,1562.5,16.699999999999967,53.017,0.00052
522,79,1718.75,27.600000000000122,79.028,0.00095
527,81,1875.0,337.50000000000824,81.338,0.01265
529,70,2968.75,1495.6999999997352,71.496,0.19878
530,56,1875.0,116.09999999999768,56.116,0.00435
531,66,1718.75,1720.4999999995307,67.72,0.39687
531,67,23437.5,720.5000000000953,67.721,0.39687
532,59,1093.75,49.700000000000436,59.05,0.00109
533,62,2812.5,1579.7999999996587,63.58,0.17038
534,63,13906.25,1277.3999999999337,64.277,0.39998
537,83,1718.75,174.79999999999436,83.175,0.00601
540,62,1718.75,487.10000000004226,62.487,0.01674
542,62,2031.25,1549.9999999996858,63.55,0.20733
547,62,781.25,1108.800000000087,63.109,0.0316
548,56,1562.5,68.70000000000037,56.069,0.00215
551,54,1718.75,125.99999999999712,54.126,0.00433
552,78,312.5,1915.999999999353,79.916,0.22378
556,66,1718.75,2897.9999999984598,68.898,1.12849
558,74,625.0,0.1,74.0,0.0
560,53,625.0,712.8000000000935,53.713,0.00891
561,83,3125.0,100.89999999999854,83.101,0.0063
564,57,781.25,187.39999999999364,57.187,0.00293
566,80,5156.25,956.4000000001489,80.956,0.09862
568,70,1562.5,1667.499999999579,71.667,0.08339
568,71,2343.75,667.5000000000832,71.668,0.08339
569,63,2031.25,3355.8999999980433,66.356,0.74397
570,102,1093.75,2089.9999999991946,104.09,0.13798
572,56,781.25,289.6999999999974,56.29,0.00453
573,91,2968.75,118.59999999999754,91.119,0.00704
574,77,3125.0,153.0999999999956,77.153,0.00957
575,56,937.5,113.19999999999784,56.113,0.00212
576,59,937.5,108.19999999999813,59.108,0.00203
579,57,312.5,765.1000000001054,57.765,0.00478
581,68,1718.75,2105.3999999991806,70.105,0.27749
583,61,2500.0,1369.2999999998501,62.369,0.13539
585,56,7500.0,59.80000000000058,56.06,0.00897
586,71,781.25,2642.499999998692,73.642,0.218
586,73,6562.5,642.5000000000775,73.643,0.218
588,83,1406.25,59.70000000000058,83.06,0.00168
590,61,3906.25,3249.59999999814,64.25,0.95605
592,80,2812.5,138.8999999999964,80.139,0.00781
593,58,781.25,2098.199999999187,60.098,0.12896
594,82,625.0,522.2000000000502,82.522,0.00653
597,57,625.0,846.3000000001239,57.846,0.01058
598,68,2812.5,2060.4999999992215,70.06,0.2646
598,69,11250.0,1060.500000000131,70.061,0.2646
600,64,156.25,3158.5999999982228,67.159,0.36699
601,55,1875.0,29.50000000000015,55.029,0.0011
602,95,156.25,4329.899999998221,99.33,0.52201
603,79,1562.5,1570.8999999996668,80.571,0.20785
607,72,7343.75,1346.9999999998704,73.347,0.4288
610,81,1093.75,1074.6000000001181,82.075,0.06938
611,61,1093.75,2160.6999999991303,63.161,0.13213
615,62,781.25,2036.5999999992432,64.037,0.21338
616,87,625.0,1487.3999999997427,88.487,0.0917
618,88,6562.5,980.5000000001544,88.981,0.12868
620,56,468.75,1104.400000000091,57.104,0.05077
621,55,3125.0,194.8999999999932,55.195,0.01218
622,56,7187.5,0.6,56.001,8e-05
624,55,5625.0,234.99999999999093,55.235,0.02643
625,83,6093.75,90.09999999999916,83.09,0.01097
626,55,1718.75,93.09999999999899,55.093,0.0032
627,62,3437.5,1140.3000000000584,63.14,0.20378
628,57,625.0,55.70000000000052,57.056,0.0007
632,61,1406.25,1650.1999999995946,62.65,0.15612
633,86,781.25,1566.7999999996705,87.567,0.06168
635,59,312.5,0.30000000000000004,59.0,0.0
637,86,937.5,518.3000000000493,86.518,0.00972
643,79,1250.0,348.90000000001083,79.349,0.00872
645,53,625.0,400.90000000002266,53.401,0.00501
651,76,937.5,1979.699999999295,77.98,0.32489
654,61,781.25,2955.2999999984077,63.955,0.86887
657,56,4375.0,122.09999999999734,56.122,0.01068
658,65,781.25,2101.499999999184,67.101,0.32744
658,66,13125.0,1101.5000000000937,67.102,0.32744
660,66,468.75,4164.499999997619,70.164,0.0619
660,69,156.25,2164.499999999127,71.164,0.0619
660,70,156.25,1164.5000000000364,71.165,0.0619
661,91,781.25,541.7000000000546,91.542,0.00846
662,61,3750.0,2061.89999999922,63.062,0.37704
663,56,2187.5,51.40000000000046,56.051,0.00225
665,79,937.5,1065.6000000001263,80.066,0.02305
666,55,2187.5,84.69999999999946,55.085,0.0037
668,55,468.75,1117.700000000079,56.118,0.01636
671,81,1093.75,2491.4999999988295,83.491,0.46439
671,83,29375.0,491.50000000004326,83.492,0.46439
672,68,1562.5,4332.099999998229,72.332,0.73991
673,55,5468.75,44.600000000000364,55.045,0.00488
675,85,625.0,2920.1999999984396,87.92,0.16889
677,70,156.25,9191.500000015907,79.192,0.93367
677,75,2031.25,4191.499999997717,79.191,0.93367
678,54,4531.25,44.000000000000355,54.044,0.00398
681,52,1250.0,313.80000000000285,52.314,0.00784
682,73,468.75,1780.599999999476,74.781,0.02645
683,55,468.75,879.2000000001314,55.879,0.00824
684,50,312.5,261.09999999999087,50.261,0.00163
690,78,156.25,2386.0999999989253,80.386,0.04189
691,66,1406.25,3306.2999999980884,69.306,0.63537
693,60,2031.25,3125.299999998253,63.125,0.40085
694,89,1250.0,37.000000000000256,89.037,0.00092
696,80,1562.5,65.00000000000058,80.065,0.00203
697,59,312.5,4260.2999999979675,63.26,0.50079
699,55,2656.25,296.99999999999903,55.297,0.01578
701,56,4218.75,19.500000000000007,56.02,0.00164
702,81,3437.5,1189.100000000014,82.189,0.15675
703,77,312.5,6258.600000005237,83.259,0.58963
704,60,468.75,3997.49999999746,63.997,1.38522
704,63,38437.5,997.5000000001583,63.998,1.38522
706,59,5312.5,4.100000000000001,59.004,0.00043
707,51,312.5,1080.9000000001124,52.081,0.00878
709,74,1875.0,2326.19999999898,76.326,0.37503
710,54,781.25,286.09999999999656,54.286,0.00447
711,96,3593.75,233.49999999999102,96.233,0.01678
712,83,4687.5,1999.6999999992768,85.0,0.54048
713,55,312.5,1004.1000000001598,56.004,0.00689
714,63,312.5,4731.199999999681,67.731,0.99874
717,73,312.5,2776.3999999985704,75.776,0.95607
719,61,1875.0,1938.5999999993323,62.939,0.39534
720,100,5000.0,173.7999999999944,100.174,0.01737
721,60,4531.25,126.49999999999709,60.127,0.01146
723,60,1562.5,3582.499999997837,63.582,0.94173
723,63,61562.5,582.5000000000639,63.583,0.94173
725,61,468.75,2165.8999999991256,63.166,0.27936
727,55,3906.25,85.6999999999994,55.086,0.00669
728,85,10937.5,6.199999999999994,85.006,0.00136
729,102,1093.75,1674.6999999995724,103.675,0.1062
730,61,781.25,3813.1999999976274,64.813,1.34364
736,73,3125.0,2263.499999999037,75.263,0.62255
737,95,312.5,7263.100000008892,102.263,0.99612
739,52,781.25,3.0000000000000013,52.003,5e-05
743,121,9375.0,86.89999999999934,121.087,0.01628
744,78,312.5,2069.2999999992135,80.069,0.02803
747,61,468.75,2572.9999999987554,63.573,0.69478
748,80,1406.25,928.3000000001425,80.928,0.02611
751,81,2968.75,1031.6000000001573,82.032,0.0729
752,57,937.5,6833.400000007328,63.833,1.37146
759,60,468.75,395.9000000000215,60.396,0.00371
760,54,625.0,306.1000000000011,54.306,0.00383
762,61,1093.75,1305.699999999908,62.306,0.07155
768,66,625.0,2829.9999999985216,68.83,0.99739
773,61,468.75,1173.700000000028,62.174,0.03922
774,57,781.25,20.100000000000016,57.02,0.00031
776,82,2968.75,55.10000000000051,82.055,0.00327
777,100,5781.25,1012.7000000001617,101.013,0.11935
